transaction_id,transaction_amount,hour_of_day,distance_from_home_km,distance_from_last_txn_km,txns_last_24h,avg_txn_amount_last_30d,is_online,merchant_risk_score,card_present,is_fraud
TXN000000,22.21649717699842,15,25.037435371199443,3.3757261913773737,1,49.54999433329792,1,0.18246662345746043,1,0
TXN000001,17.949766546777077,17,22.879442404847804,0.9305822496385778,2,20.051320533418224,0,0.4658638987417483,1,0
TXN000002,10.559539846317644,19,11.085213079019184,5.434748349064634,2,9.693582143259459,1,0.17910862276695383,1,0
TXN000003,10.040442505608942,20,3.949108749456712,4.066485742955149,1,35.9523078498454,0,0.31808587241387537,1,0
TXN000004,112.75034305864642,20,1.2941196624929658,14.872144242168591,3,37.12572215239964,1,0.21527673801554595,1,0
TXN000005,3.213542199419117,18,5.422007463037584,16.003267651129363,1,14.945370171746145,0,0.23357106110582063,1,0
TXN000006,6.864553368451431,14,26.49442515238126,9.005664513391583,5,43.56794046293253,1,0.33153098334105063,1,0
TXN000007,111.40950305140369,23,90.5590614333764,35.208565039270084,11,28.93037969850088,1,0.6497090560105997,0,1
TXN000008,7.250635896699863,11,30.859563592277453,2.5329894686562184,4,49.10152713419424,0,0.19062894120671578,0,0
TXN000009,22.39142162807853,4,12.80040096812764,1.8106403853748818,1,28.704925168377635,0,0.18340014516552053,1,0
TXN000010,24.370254870326434,21,4.033440799427561,17.345303821904842,4,14.82457406993004,1,0.32758967439254216,1,0
TXN000011,55.76403369422327,19,5.163545358848023,0.6010739405830451,2,67.1001677571234,0,0.3374967972645699,1,0
TXN000012,32.360852753032205,18,22.834360606907378,3.31033156278749,3,17.919611800604383,0,0.24211399800524086,0,0
TXN000013,17.400201204312406,9,19.103689492655793,10.533100921254917,2,22.537393791614104,1,0.345952887247389,1,0
TXN000014,12.5682763106642,16,11.126160435314373,4.097002751392707,3,26.659477307534733,0,0.19121881934252852,1,0
TXN000015,184.4621747943766,9,12.24027806179799,2.1171289285487545,3,15.698554780278688,0,0.34302195522690837,0,0
TXN000016,54.96169317852095,2,27.353158617952847,4.47524115406382,2,19.420214362639413,0,0.2659240622216338,0,0
